initial_FB,initial_BM,id,#FB,#BM,day,exp,FB_type,collagen,plate,change_medium,strain,outlier,medium
10000,100,10000_100,10000,100.0,0,29,nmf,1,96,0,balb,0,dmem10
10000,1000,10000_1000,10000,1000.0,0,29,nmf,1,96,0,balb,0,dmem10
10000,10000,10000_10000,10000,10000.0,0,29,nmf,1,96,0,balb,0,dmem10
10000,100000,10000_100000,10000,100000.0,0,29,nmf,1,96,0,balb,0,dmem10
0,100,0_100,0,100.0,0,29,nmf,1,96,0,balb,0,dmem10
0,1000,0_1000,0,1000.0,0,29,nmf,1,96,0,balb,0,dmem10
0,10000,0_10000,0,10000.0,0,29,nmf,1,96,0,balb,0,dmem10
0,100000,0_100000,0,100000.0,0,29,nmf,1,96,0,balb,0,dmem10
40000,100000,40000_100000,40000,100000.0,0,28,nmf,1,96,0,black,0,dmem10
0,100,0_100,0,1.0,3,30,nmf,1,10,0,balb,0,dmem10
0,100,0_100,0,0.0,3,31,nmf,1,10,0,balb,0,dmem10
0,100,0_100,0,1.0,3,32,nmf,1,10,0,balb,0,dmem10
0,1000,0_1000,0,2.0,3,30,nmf,1,10,0,balb,0,dmem10
0,1000,0_1000,0,4.0,3,31,nmf,1,10,0,balb,0,dmem10
0,1000,0_1000,0,2.0,3,32,nmf,1,10,0,balb,0,dmem10
100,0,100_0,1,0.0,3,30,nmf,1,10,0,balb,0,dmem10
1000,0,1000_0,0,0.0,3,30,nmf,1,10,0,balb,0,dmem10
100,100,100_100,0,4.0,3,30,nmf,1,10,0,balb,0,dmem10
100,100,100_100,0,1.0,3,31,nmf,1,10,0,balb,0,dmem10
100,100,100_100,7,3.0,3,32,nmf,1,10,0,balb,0,dmem10
1000,1000,1000_1000,1,9.0,3,30,nmf,1,10,0,balb,0,dmem10
1000,1000,1000_1000,0,28.0,3,31,nmf,1,10,0,balb,0,dmem10
1000,1000,1000_1000,2,19.0,3,32,nmf,1,10,0,balb,0,dmem10
1000,10000,1000_10000,1,9.0,3,30,nmf,1,10,0,balb,0,dmem10
1000,10000,1000_10000,2,19.0,3,31,nmf,1,10,0,balb,0,dmem10
1000,10000,1000_10000,2,16.0,3,32,nmf,1,10,0,balb,0,dmem10
100,0,100_0,0,0.0,3,33,nmf,1,6,0,balb,0,dmem10
1000,0,1000_0,0,0.0,3,33,nmf,1,6,0,balb,0,dmem10
0,100,0_100,0,5.0,3,33,nmf,1,6,0,balb,0,dmem10
0,1000,0_1000,0,4.0,3,33,nmf,1,6,0,balb,0,dmem10
0,10000,0_10000,0,4.0,3,33,nmf,1,6,0,balb,0,dmem10
100,100,100_100,1,4.0,3,33,nmf,1,6,0,balb,0,dmem10
100,1000,100_1000,0,7.0,3,33,nmf,1,6,0,balb,0,dmem10
