initial_FB,initial_BM,id,#FB,#BM,day,exp,FB_type,collagen,plate,change_medium,strain,outlier,medium
1000,100000,1000_100000,79,1873.0,3,43,nmf,1,6,0,balb,0,dmem10
300,100000,300_100000,18,773.0,3,43,nmf,1,6,0,balb,0,dmem10
100,100000,100_100000,18,915.0,3,43,nmf,1,6,0,balb,0,dmem10
100,300,100_300,5,12.0,3,43,nmf,1,6,0,balb,0,dmem10
300,300,300_300,18,16.0,3,43,nmf,1,6,0,balb,0,dmem10
10000,10000,10000_10000,367,771.0,3,43,nmf,1,6,0,balb,0,dmem10
0,100000,0_100000,0,1112.0,7,43,nmf,1,6,0,balb,0,dmem10
0,100000,0_100000,0,512.0,7,44,nmf,1,6,0,balb,0,dmem10
300,0,300_0,11,0.0,7,43,nmf,1,6,0,balb,0,dmem10
0,300,0_300,0,5.0,7,43,nmf,1,6,0,balb,0,dmem10
0,300,0_300,0,3.0,7,44,nmf,1,6,0,balb,0,dmem10
1000,0,1000_0,14,0.0,7,43,nmf,1,6,0,balb,0,dmem10
